cosparId,depth,diameter,height,mass,name,objectClass,satno,shape,span,vimpelId,width,xSectAvg,xSectMax,xSectMin
2008-001A,17.0,,12.2,5180.0,Thuraya 3,Payload,32404,Box + 1 Dish + 2 Pan,40.4,,17.0,458.148666666667,730.005329495339,207.4
2003-026A,17.0,,12.2,5177.0,Thuraya 2,Payload,27825,Box + 1 Dish + 2 Pan,40.4,,17.0,458.148666666667,730.005329495339,207.4
1965-039B,,3.9,3.5,5173.0,Apollo Model 4,Payload,1385,Cone + Cyl,3.9,,,16.6936379630128,18.1391061444708,11.9459060652752
2016-005A,2.8,,5.5,5162.0,Eutelsat 9B,Payload,41310,Box + 2 Pan,39.0,,2.8,46.4849333333333,104.235863414948,7.84
2000-066A,17.0,,12.2,5108.0,Thuraya 1,Payload,26578,Box + 1 Dish + 2 Pan,34.0,,17.0,429.114,642.965349726568,207.4
2010-042A,2.4,,3.6,5100.0,Chinasat 6A,Payload,37150,Box + 2 Pan,15.5,,2.4,19.9604666666667,38.6607678443737,5.76
2011-042A,2.4,,3.6,5100.0,Paksat 1R,Payload,37779,Box + 2 Pan,15.5,,2.4,19.9604666666667,38.6607678443737,5.76
2008-055A,2.4,,3.6,5100.0,Simon Bolivar,Payload,33414,Box + 2 Pan,15.5,,2.4,19.9604666666667,38.6607678443737,5.76
2016-065B,,5.0,10.6,5100.0,CZ-5-HO (Long March (CZ) 5/YZ-2),Rocket Body,41839,Step Cyl,10.6,,,46.8205637697221,56.520185968533,19.6349540849362
2006-043E,,5.45,7.0,5100.0,ESC-A (Ariane 5ECA),Rocket Body,29498,Cyl + 1 Nozzle,7.0,,,41.627084407769,44.7172401346055,23.3282889483127
2011-026A,2.4,,3.6,5100.0,Chinasat 10,Payload,37677,Box + 2 Pan,15.5,,2.4,19.9604666666667,38.6607678443737,5.76
2011-022B,3.8,,6.2,5090.0,ST-2,Payload,37606,Box + 2 Pan,31.6,,3.8,59.0636,120.825848544805,14.44
2011-077A,2.5,,5.0,5086.0,NigComSat 1R,Payload,38014,Box + 2 Pan,30.0,,2.5,34.0633333333333,73.750702040974,6.25
2007-018A,2.5,,5.0,5086.0,NigComSat 1,Payload,31395,Box + 2 Pan,30.0,,2.5,34.0633333333333,73.750702040974,6.25
2013-075A,2.5,,5.0,5086.0,Tupac Katari (TKSat 1),Payload,39481,Box + 2 Pan,30.0,,2.5,34.0633333333333,73.750702040974,6.25
1965-009B,3.9,,3.5,5073.0,Apollo Model 3,Payload,1088,Cone,3.91,,3.91,17.1282,18.5726,11.733
2012-067A,2.2,,5.1,5054.0,Chinasat 15A,Payload,39017,Box + 2 Pan,37.0,,2.2,34.1837333333333,77.8382241620909,4.84
2005-052A,2.5,,5.5,5035.0,"Eutelsat 172A (GE 23, AMC 23)",Payload,28924,Box + 2 Pan,38.0,,2.5,40.6733333333333,91.4260670598773,6.25
